CLID1,AVG,CLID2,STD
3304,37.86,3304,5.63
3305,38.68,3305,5.41
3306,39.71,3306,5.45
3307,39.76,3307,5.35
3308,42.25,3308,6.36
3309,41.01,3309,5.77
3310,40.86,3310,5.45
3401,21.00,3401,2.82
3402,31.96,3402,5.51
3403,42.84,3403,7.02
3404,29.17,3404,5.22
3405,37.31,3405,5.86
3406,46.14,3406,8.61
3407,30.75,3407,5.63
3408,39.66,3408,7.18
3409,50.76,3409,9.17
3501,75.47,3501,14.97
3502,52.77,3502,9.55
3503,38.04,3503,8.70
3504,74.25,3504,14.35
3505,24.38,3505,5.47
3506,15.59,3506,3.01
3507,12.32,3507,2.73
3508,17.88,3508,3.17
3509,10.79,3509,2.72
3601,45.55,3601,6.27
3602,47.07,3602,7.12
3603,45.35,3603,6.75
3604,42.40,3604,7.28
3605,42.18,3605,6.76
3606,38.75,3606,5.52
3607,41.16,3607,5.66
3608,41.92,3608,5.53
3609,42.87,3609,4.46
3610,44.29,3610,5.11
3701,47.98,3701,6.74
3801,70.24,3801,13.24
3802,51.75,3802,7.65
3803,47.03,3803,5.90
3804,49.55,3804,5.98
3805,48.36,3805,5.82
3806,48.09,3806,6.48
3807,50.42,3807,6.42
3901,16.95,3901,3.67
3902,18.26,3902,3.30
3903,21.29,3903,4.92
3904,22.51,3904,4.25
3905,17.89,3905,3.75
3906,18.98,3906,4.17
3907,22.86,3907,4.59
3908,21.75,3908,4.54
3909,24.32,3909,5.17
4001,51.13,4001,7.24
4002,57.05,4002,8.09
4003,55.34,4003,8.37
4004,54.00,4004,7.86
4101,19.64,4101,2.74
4102,24.51,4102,4.18
4103,35.23,4103,6.04
4104,48.08,4104,8.22
4105,13.19,4105,3.53
4106,24.73,4106,4.68
4107,36.21,4107,7.96
4108,50.31,4108,10.13
4109,24.08,4109,5.87
4110,25.43,4110,5.11
4201,9.18,4201,2.06
4202,12.87,4202,3.80
4203,18.16,4203,4.47
4204,13.36,4204,2.76
4205,20.12,4205,4.51
4206,8.49,4206,1.94
4207,9.83,4207,2.00
4301,44.18,4301,5.75
4302,38.99,4302,4.93
4303,46.35,4303,5.81
4401,45.63,4401,6.65
4402,45.00,4402,6.56
4403,46.61,4403,6.98
4404,42.44,4404,6.73
4405,40.64,4405,6.08
4406,44.29,4406,5.65
4501,97.77,4501,16.87
4502,25.16,4502,4.34
4503,42.70,4503,6.52
