REF_DATE,Origin,DGUID,Destination,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1971/1972,"New Brunswick, province of origin",2016A000213,"Alberta, province of destination",Persons,249,units ,0,v466601,4.9,918,,,,0
1971/1972,"New Brunswick, province of origin",2016A000213,"British Columbia, province of destination",Persons,249,units ,0,v466602,4.1,1200,,,,0
1971/1972,"New Brunswick, province of origin",2016A000213,"Yukon, province of destination",Persons,249,units ,0,v466591,4.11,20,,,,0
1971/1972,"New Brunswick, province of origin",2016A000213,"Northwest Territories including Nunavut, province of destination",Persons,249,units ,0,v466592,4.12,30,,,t,0
1971/1972,"Quebec, province of origin",2016A000224,"Newfoundland and Labrador, province of destination",Persons,249,units ,0,v466603,5.1,1284,,,,0
1971/1972,"Quebec, province of origin",2016A000224,"Prince Edward Island, province of destination",Persons,249,units ,0,v466608,5.2,304,,,,0
1971/1972,"Quebec, province of origin",2016A000224,"Nova Scotia, province of destination",Persons,249,units ,0,v466609,5.3,2234,,,,0
1971/1972,"Quebec, province of origin",2016A000224,"New Brunswick, province of destination",Persons,249,units ,0,v466610,5.4,4514,,,,0
1971/1972,"Quebec, province of origin",2016A000224,"Ontario, province of destination",Persons,249,units ,0,v466611,5.6,40994,,,,0
1971/1972,"Quebec, province of origin",2016A000224,"Manitoba, province of destination",Persons,249,units ,0,v466612,5.7,1869,,,,0
1971/1972,"Quebec, province of origin",2016A000224,"Saskatchewan, province of destination",Persons,249,units ,0,v466613,5.8,427,,,,0
1971/1972,"Quebec, province of origin",2016A000224,"Alberta, province of destination",Persons,249,units ,0,v466614,5.9,2735,,,,0
1971/1972,"Quebec, province of origin",2016A000224,"British Columbia, province of destination",Persons,249,units ,0,v466615,5.1,5116,,,,0
1971/1972,"Quebec, province of origin",2016A000224,"Yukon, province of destination",Persons,249,units ,0,v466604,5.11,66,,,,0
1971/1972,"Quebec, province of origin",2016A000224,"Northwest Territories including Nunavut, province of destination",Persons,249,units ,0,v466605,5.12,105,,,t,0
1971/1972,"Ontario, province of origin",2016A000235,"Newfoundland and Labrador, province of destination",Persons,249,units ,0,v466616,6.1,6642,,,,0
1971/1972,"Ontario, province of origin",2016A000235,"Prince Edward Island, province of destination",Persons,249,units ,0,v466621,6.2,1728,,,,0
1971/1972,"Ontario, province of origin",2016A000235,"Nova Scotia, province of destination",Persons,249,units ,0,v466622,6.3,10716,,,,0
1971/1972,"Ontario, province of origin",2016A000235,"New Brunswick, province of destination",Persons,249,units ,0,v466623,6.4,7912,,,,0
1971/1972,"Ontario, province of origin",2016A000235,"Quebec, province of destination",Persons,249,units ,0,v466624,6.5,24347,,,,0
1971/1972,"Ontario, province of origin",2016A000235,"Manitoba, province of destination",Persons,249,units ,0,v466625,6.7,8188,,,,0
1971/1972,"Ontario, province of origin",2016A000235,"Saskatchewan, province of destination",Persons,249,units ,0,v466626,6.8,2875,,,,0
1971/1972,"Ontario, province of origin",2016A000235,"Alberta, province of destination",Persons,249,units ,0,v466627,6.9,11786,,,,0
1971/1972,"Ontario, province of origin",2016A000235,"British Columbia, province of destination",Persons,249,units ,0,v466628,6.1,18476,,,,0
1971/1972,"Ontario, province of origin",2016A000235,"Yukon, province of destination",Persons,249,units ,0,v466617,6.11,404,,,,0
1971/1972,"Ontario, province of origin",2016A000235,"Northwest Territories including Nunavut, province of destination",Persons,249,units ,0,v466618,6.12,632,,,t,0
1971/1972,"Manitoba, province of origin",2016A000246,"Newfoundland and Labrador, province of destination",Persons,249,units ,0,v466629,7.1,302,,,,0
1971/1972,"Manitoba, province of origin",2016A000246,"Prince Edward Island, province of destination",Persons,249,units ,0,v466634,7.2,281,,,,0
1971/1972,"Manitoba, province of origin",2016A000246,"Nova Scotia, province of destination",Persons,249,units ,0,v466635,7.3,500,,,,0
1971/1972,"Manitoba, province of origin",2016A000246,"New Brunswick, province of destination",Persons,249,units ,0,v466636,7.4,636,,,,0
1971/1972,"Manitoba, province of origin",2016A000246,"Quebec, province of destination",Persons,249,units ,0,v466637,7.5,1893,,,,0
1971/1972,"Manitoba, province of origin",2016A000246,"Ontario, province of destination",Persons,249,units ,0,v466638,7.6,11247,,,,0
1971/1972,"Manitoba, province of origin",2016A000246,"Saskatchewan, province of destination",Persons,249,units ,0,v466639,7.8,4810,,,,0
1971/1972,"Manitoba, province of origin",2016A000246,"Alberta, province of destination",Persons,249,units ,0,v466640,7.9,7066,,,,0
1971/1972,"Manitoba, province of origin",2016A000246,"British Columbia, province of destination",Persons,249,units ,0,v466641,7.1,7810,,,,0
1971/1972,"Manitoba, province of origin",2016A000246,"Yukon, province of destination",Persons,249,units ,0,v466630,7.11,137,,,,0
1971/1972,"Manitoba, province of origin",2016A000246,"Northwest Territories including Nunavut, province of destination",Persons,249,units ,0,v466631,7.12,215,,,t,0
1971/1972,"Saskatchewan, province of origin",2016A000247,"Newfoundland and Labrador, province of destination",Persons,249,units ,0,v466642,8.1,127,,,,0
1971/1972,"Saskatchewan, province of origin",2016A000247,"Prince Edward Island, province of destination",Persons,249,units ,0,v466647,8.2,36,,,,0
1971/1972,"Saskatchewan, province of origin",2016A000247,"Nova Scotia, province of destination",Persons,249,units ,0,v466648,8.3,811,,,,0
1971/1972,"Saskatchewan, province of origin",2016A000247,"New Brunswick, province of destination",Persons,249,units ,0,v466649,8.4,366,,,,0
1971/1972,"Saskatchewan, province of origin",2016A000247,"Quebec, province of destination",Persons,249,units ,0,v466650,8.5,569,,,,0
1971/1972,"Saskatchewan, province of origin",2016A000247,"Ontario, province of destination",Persons,249,units ,0,v466651,8.6,4741,,,,0
1971/1972,"Saskatchewan, province of origin",2016A000247,"Manitoba, province of destination",Persons,249,units ,0,v466652,8.7,6050,,,,0
1971/1972,"Saskatchewan, province of origin",2016A000247,"Alberta, province of destination",Persons,249,units ,0,v466653,8.9,15879,,,,0
1971/1972,"Saskatchewan, province of origin",2016A000247,"British Columbia, province of destination",Persons,249,units ,0,v466654,8.1,9563,,,,0
1971/1972,"Saskatchewan, province of origin",2016A000247,"Yukon, province of destination",Persons,249,units ,0,v466643,8.11,267,,,,0
1971/1972,"Saskatchewan, province of origin",2016A000247,"Northwest Territories including Nunavut, province of destination",Persons,249,units ,0,v466644,8.12,417,,,t,0
1971/1972,"Alberta, province of origin",2016A000248,"Newfoundland and Labrador, province of destination",Persons,249,units ,0,v466655,9.1,550,,,,0
1971/1972,"Alberta, province of origin",2016A000248,"Prince Edward Island, province of destination",Persons,249,units ,0,v466660,9.2,225,,,,0
1971/1972,"Alberta, province of origin",2016A000248,"Nova Scotia, province of destination",Persons,249,units ,0,v466661,9.3,1254,,,,0
1971/1972,"Alberta, province of origin",2016A000248,"New Brunswick, province of destination",Persons,249,units ,0,v466662,9.4,696,,,,0
1971/1972,"Alberta, province of origin",2016A000248,"Quebec, province of destination",Persons,249,units ,0,v466663,9.5,1795,,,,0
1971/1972,"Alberta, province of origin",2016A000248,"Ontario, province of destination",Persons,249,units ,0,v466664,9.6,10886,,,,0
1971/1972,"Alberta, province of origin",2016A000248,"Manitoba, province of destination",Persons,249,units ,0,v466665,9.7,4203,,,,0
1971/1972,"Alberta, province of origin",2016A000248,"Saskatchewan, province of destination",Persons,249,units ,0,v466666,9.8,7078,,,,0
1971/1972,"Alberta, province of origin",2016A000248,"British Columbia, province of destination",Persons,249,units ,0,v466667,9.1,27910,,,,0
1971/1972,"Alberta, province of origin",2016A000248,"Yukon, province of destination",Persons,249,units ,0,v466656,9.11,991,,,,0
1971/1972,"Alberta, province of origin",2016A000248,"Northwest Territories including Nunavut, province of destination",Persons,249,units ,0,v466657,9.12,1553,,,t,0
1971/1972,"British Columbia, province of origin",2016A000259,"Newfoundland and Labrador, province of destination",Persons,249,units ,0,v466459,10.1,455,,,,0
1971/1972,"British Columbia, province of origin",2016A000259,"Prince Edward Island, province of destination",Persons,249,units ,0,v466464,10.2,118,,,,0
1971/1972,"British Columbia, province of origin",2016A000259,"Nova Scotia, province of destination",Persons,249,units ,0,v466465,10.3,1414,,,,0
1971/1972,"British Columbia, province of origin",2016A000259,"New Brunswick, province of destination",Persons,249,units ,0,v466466,10.4,887,,,,0
1971/1972,"British Columbia, province of origin",2016A000259,"Quebec, province of destination",Persons,249,units ,0,v466467,10.5,2259,,,,0
1971/1972,"British Columbia, province of origin",2016A000259,"Ontario, province of destination",Persons,249,units ,0,v466468,10.6,13027,,,,0
1971/1972,"British Columbia, province of origin",2016A000259,"Manitoba, province of destination",Persons,249,units ,0,v466469,10.7,4248,,,,0
1971/1972,"British Columbia, province of origin",2016A000259,"Saskatchewan, province of destination",Persons,249,units ,0,v466470,10.8,3900,,,,0
1971/1972,"British Columbia, province of origin",2016A000259,"Alberta, province of destination",Persons,249,units ,0,v466471,10.9,19015,,,,0
1971/1972,"British Columbia, province of origin",2016A000259,"Yukon, province of destination",Persons,249,units ,0,v466460,10.11,784,,,,0
1971/1972,"British Columbia, province of origin",2016A000259,"Northwest Territories including Nunavut, province of destination",Persons,249,units ,0,v466461,10.12,1229,,,t,0
1971/1972,"Yukon, province of origin",2016A000260,"Newfoundland and Labrador, province of destination",Persons,249,units ,0,v466472,11.1,21,,,,0
